Tier,Segment,Institution_Name,Type,Est_Revenue_MYR,Employees,RMiT_Urgency
1,Licensed Banks,Maybank Islamic Berhad,Islamic Bank,15B+,15000,Critical
1,Licensed Banks,CIMB Islamic Bank Berhad,Islamic Bank,12B+,12000,Critical
1,Licensed Banks,Public Islamic Bank Berhad,Islamic Bank,8B+,8000,Critical
1,Licensed Banks,RHB Islamic Bank Berhad,Islamic Bank,6B+,6000,Critical
1,Licensed Banks,Hong Leong Islamic Bank Berhad,Islamic Bank,4B+,4000,Critical
1,Licensed Banks,Bank Islam Malaysia Berhad,Islamic Bank,4B+,3500,Critical
1,Licensed Banks,AmBank Islamic Berhad,Islamic Bank,3B+,3000,High
1,Licensed Banks,Alliance Islamic Bank Berhad,Islamic Bank,2B+,2000,High
1,Licensed Banks,Maybank Berhad,Commercial Bank,20B+,20000,Critical
1,Licensed Banks,CIMB Bank Berhad,Commercial Bank,15B+,15000,Critical
1,Licensed Banks,Public Bank Berhad,Commercial Bank,10B+,10000,Critical
1,Licensed Banks,RHB Bank Berhad,Commercial Bank,8B+,8000,Critical
1,Licensed Banks,Hong Leong Bank Berhad,Commercial Bank,6B+,5000,Critical
1,Licensed Banks,AmBank (M) Berhad,Commercial Bank,4B+,4000,High
1,Licensed Banks,Alliance Bank Malaysia Berhad,Commercial Bank,3B+,2500,High
1,Licensed Banks,UOB Malaysia Berhad,Commercial Bank,5B+,4000,High
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Commercial Bank,4B+,3500,High
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,Commercial Bank,3B+,2500,High
1,Licensed Banks,HSBC Bank Malaysia Berhad,Commercial Bank,4B+,3000,High
1,Licensed Banks,Citibank Berhad,Commercial Bank,2B+,1500,High
1,Licensed Banks,Bank of China (Malaysia) Berhad,Commercial Bank,1B+,800,Medium
1,Licensed Banks,ICBC (Malaysia) Berhad,Commercial Bank,1B+,600,Medium
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,Commercial Bank,800M+,400,Medium
1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,Commercial Bank,600M+,300,Medium
1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,Commercial Bank,500M+,250,Medium
1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,Commercial Bank,400M+,200,Medium
1,Licensed Banks,BNP Paribas Malaysia Berhad,Commercial Bank,300M+,150,Medium
1,Licensed Banks,Credit Suisse (Malaysia) Berhad,Commercial Bank,200M+,100,Medium
2,Investment Banks,Maybank Investment Bank Berhad,Investment Bank,2B+,1500,High
2,Investment Banks,CIMB Investment Bank Berhad,Investment Bank,1.5B+,1200,High
2,Investment Banks,RHB Investment Bank Berhad,Investment Bank,1B+,1000,High
2,Investment Banks,Public Investment Bank Berhad,Investment Bank,800M+,800,High
2,Investment Banks,Hong Leong Investment Bank Berhad,Investment Bank,600M+,600,High
2,Investment Banks,AmInvestment Bank Berhad,Investment Bank,400M+,500,Medium
2,Investment Banks,Alliance Investment Bank Berhad,Investment Bank,300M+,400,Medium
2,Investment Banks,Kenanga Investment Bank Berhad,Investment Bank,250M+,350,Medium
2,Investment Banks,MIDF Amanah Investment Bank Berhad,Investment Bank,200M+,300,Medium
2,Investment Banks,Affin Investment Bank Berhad,Investment Bank,150M+,250,Medium
2,Investment Banks,Bank Rakyat Investment Bank Berhad,Investment Bank,150M+,200,Medium
2,Investment Banks,BIMB Investment Bank Berhad,Investment Bank,100M+,180,Medium
2,Investment Banks,Malaysia International Islamic Bank IB,Investment Bank,100M+,150,Medium
2,Investment Banks,JCL Corporation Sdn Bhd,Investment Bank,80M+,120,Low
2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,Investment Bank,60M+,100,Low
2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,Life Insurer,5B+,4000,High
2,Insurers,AIA Berhad,Life Insurer,4B+,3500,High
2,Insurers,Prudential Assurance Malaysia Berhad,Life Insurer,3B+,3000,High
2,Insurers,Manulife Insurance Berhad,Life Insurer,2.5B+,2500,High
2,Insurers,Allianz Life Insurance Malaysia Berhad,Life Insurer,2B+,2000,High
2,Insurers,AmMetLife Insurance Berhad,Life Insurer,1.5B+,1800,Medium
2,Insurers,Etiqa Life Insurance Berhad,Life Insurer,1.2B+,1500,Medium
2,Insurers,FWD Insurance Berhad,Life Insurer,1B+,1200,Medium
2,Insurers,Generali Life Insurance Malaysia Berhad,Life Insurer,800M+,1000,Medium
2,Insurers,Hong Leong Assurance Berhad,Life Insurer,600M+,800,Medium
2,Insurers,MCIS Insurance Berhad,Life Insurer,500M+,700,Low
2,Insurers,Sun Life Malaysia Assurance Berhad,Life Insurer,400M+,600,Low
2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,Life Insurer,350M+,500,Low
2,Insurers,Zurich Life Insurance Malaysia Berhad,Life Insurer,300M+,450,Low
2,Insurers,AIA General Berhad,General Insurer,3B+,2500,High
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,General Insurer,2.5B+,2000,High
2,Insurers,Etiqa General Insurance Berhad,General Insurer,2B+,1800,High
2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,General Insurer,1.5B+,1500,High
2,Insurers,Chubb Insurance Malaysia Berhad,General Insurer,1.2B+,1200,High
2,Insurers,Berjaya Sompo Insurance Berhad,General Insurer,1B+,1000,Medium
2,Insurers,Generali Insurance Malaysia Berhad,General Insurer,800M+,900,Medium
2,Insurers,Liberty General Insurance Berhad,General Insurer,600M+,800,Medium
2,Insurers,Lonpac Insurance Bhd,General Insurer,500M+,700,Medium
2,Insurers,MSIG Insurance (Malaysia) Bhd,General Insurer,450M+,650,Medium
2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,General Insurer,400M+,600,Low
2,Insurers,Kurnia Insurans (Malaysia) Berhad,General Insurer,350M+,550,Low
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,General Insurer,300M+,500,Low
2,Takaful,Takaful IKHLAS Berhad,Family Takaful,2B+,1800,High
2,Takaful,Etiqa Takaful Berhad,Family Takaful,1.5B+,1500,High
2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,Family Takaful,1.2B+,1200,High
2,Takaful,AIA Public Takaful Berhad,Family Takaful,1B+,1000,High
2,Takaful,Prudential BSN Takaful Berhad,Family Takaful,800M+,900,Medium
2,Takaful,Manulife Takaful Malaysia Berhad,Family Takaful,600M+,800,Medium
2,Takaful,Allianz Takaful Berhad,Family Takaful,500M+,700,Medium
2,Takaful,Zurich Takaful Malaysia Berhad,Family Takaful,400M+,600,Low
2,Takaful,Syarikat Takaful Malaysia Berhad,Family Takaful,350M+,550,Low
2,Takaful,Takaful Am General Berhad,General Takaful,300M+,500,Low
2,Takaful,Family Takaful Berhad,Family Takaful,250M+,450,Low
2,Takaful,General Takaful Berhad,General Takaful,200M+,400,Low
3,Development FIs,Bank Rakyat Malaysia,Development FI,10B+,5000,High
3,Development FIs,Agrobank Malaysia,Development FI,2B+,2000,High
3,Development FIs,Bank Simpanan Nasional (BSN),Development FI,5B+,3000,High
3,Development FIs,EXIM Bank Malaysia,Development FI,1B+,500,Medium
3,Development FIs,SME Bank Berhad,Development FI,800M+,800,Medium
