Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,AEON Bank (M) Berhad,,,,,,,
6,Fintech Sandbox,AEON Bank Berhad,,,,,,,
4,E-Money,AEON Wallet (AEON Credit),,,,,,,
2,Insurers,AIA Berhad,,Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],Tan Teoh Guan (CRO - oversees compliance monitoring) [Official: aia.com.my],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Insurers,AIA General Berhad,,Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],Tan Teoh Guan (CRO - oversees compliance monitoring) [Group-level: AIA],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Takaful,AIA Public Takaful Berhad,,Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],Tan Teoh Guan (CRO - oversees compliance monitoring) [Group-level: AIA],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],Cheong Dang (Group CRO) + Adzamimah Adzmi (Group CCO) [Group-level: Affin Bank],"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]"
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),,,,,,,
3,Development FIs,Agrobank Malaysia,,Encik Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,Encik Nolan Jeffrey A/L Abdul Hai,Encik Kamarudin Samsudin
