Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,AEON Bank (M) Berhad,,Kirenjeet Kaur,,Kirenjeet Kaur,Kirenjeet Kaur,,
6,Fintech Sandbox,AEON Bank Berhad,,Kirenjeet Kaur,,Kirenjeet Kaur,Kirenjeet Kaur,,
4,E-Money,AEON Wallet (AEON Credit),,,,,,,
2,Insurers,AIA Berhad,Chee Lung Yuen,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Tan Teoh Guan,Sherlly Yuan Xiaoli,
2,Insurers,AIA General Berhad,Chee Lung Yuen,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Nanthini Kandasamy,Sherlly Yuan Xiaoli,
2,Takaful,AIA Public Takaful Berhad,Chee Lung Yuen,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Ahmad Faisal Ahamad Nawawi,Sherlly Yuan Xiaoli,
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim,Cheong Dang,Joanne Rodrigues,Cheong Dang,Adzamimah Adzmi,Wan Razly Bin Wan Ali,Wahdania Binti Mohd Khir
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),,,,,,,
3,Development FIs,Agrobank Malaysia,Nolan Jeffrey A/L Abdul Hai,Encik Hussien Mullar,Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,Nolan Jeffrey A/L Abdul Hai,Encik Kamarudin Samsudin
4,E-Money,Alipay+ Malaysia (Ant Group),,,,,,,
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
2,Investment Banks,Alliance Investment Bank Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,,,Chin Xiao Wei,,,David Brandl,Narayana Samy Naidu Renugopal
2,Insurers,Allianz Life Insurance Malaysia Berhad,,,Giulio Slavich,,,David Brandl,Narayana Samy Naidu Renugopal
2,Takaful,Allianz Takaful Berhad,,,Chin Xiao Wei,,,David Brandl,Narayana Samy Naidu Renugopal
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy,Shamsul Bahrom,Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
4,Card Schemes,AmBank AirAsia Visa Card,,Shamsul Bahrom,,,,,
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy,Shamsul Bahrom,Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy,Shamsul Bahrom Bin Mohamed Ibrahim,Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
2,Insurers,AmMetLife Insurance Berhad,,,Michelle Cheang,Low Siew Mooi,,Loh Tian Hu,
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),,Mohd Azmir Mohd Jani,Mohd Irwan Ahmad Mustafa,Mohd Azmir Mohd Jani,Sahlawati Mustafa,Ts Izzat Aziz,Noramly Bachok
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),Shankar Krishnan,Abid Abdul Adam,Komathi Balakrishnan,Abid Abdul Adam,Abid Abdul Adam,Thomas Hundt,Miraz Ahmed
2,Investment Banks,BIMB Investment Bank Berhad,Anthony Tai,Nik Azmir Nik Anis,Siti Nur Huda Sufian,Alina Sylvia Appoo,Nik Azmir Nik Anis,Zulkanain Kassim,Zalfitri Abd Mutalip
1,Licensed Banks,BNP Paribas Malaysia Berhad,,Anthony Lo Chiang Loong,Kevin Wong,Khoo Lian Kim,Chan Mui Pin,,Faisal bin Ismail
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai,Nik Azmir Nik Anis,Siti Nur Huda Sufian,Alina Sylvia Appoo,Nik Azmir Nik Anis,Zulkanain Kassim,Zalfitri Abd Mutalip
2,Investment Banks,Bank Rakyat Investment Bank Berhad,,Fuhaizad Asmar Omar,Nor Haimee Zakaria,Azni Azaddin,Jufree Soaidin,Ismat Nazarul Mat Isa,Fuhaizad Asmar Omar
3,Development FIs,Bank Rakyat Malaysia,Ts. Tahrizi Tahreb,Azni Azaddin,Nor Haimee Zakaria,Azni Azaddin,Jufree Soaidin,Zulkanain Kassim,
3,Development FIs,Bank Simpanan Nasional (BSN),,Muizz Aiman Farid,Norhafizah Md Shariff,Muizz Aiman Farid,Sujit Guha Thakurta,Asrul Kamaruddin,
1,Licensed Banks,Bank of China (Malaysia) Berhad,Willy Neo,Anysia Yeung,Datuk Alvin Tay,Anysia Yeung,Ker Yong,K.W.C,Chen Thien Yin
3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),Hairil Izwar Abd Rahman,Mohammad Azam Ahmad,Hee Wei Jean,Mohammad Azam Ahmad,Rohayati Talha,Hairil Izwar Abd Rahman,Hasrul Farid Hasnan
