Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit,Stripped Titles
2,Insurers,AIA Berhad,"Chee Lung Yuen (Director, Technology Risk Management & Business Continuity Management - CISO) [ASEAN Risk Awards industry profile: aseanriskawards.com/chee-lung-yuen/, conf 85]. CISO of AIA Bhd (Malaysia) since 2020. Not on AIA public EXCO leadership page (only top execs listed). Verified via credible regional risk-management industry body.",Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],Tan Teoh Guan (CRO - oversees compliance monitoring) [Official: aia.com.my],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],,Datin
2,Insurers,AIA General Berhad,,Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Nanthini Kandasamy (Director, Risk & Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],,Datin
2,Takaful,AIA Public Takaful Berhad,,Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Ahmad Faisal Ahamad Nawawi (Associate Director, Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],,Datin
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],Cheong Dang (Group CRO) + Adzamimah Adzmi (Group CCO) [Group-level: Affin Bank],"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]",
3,Development FIs,Agrobank Malaysia,"Nolan Jeffrey A/L Abdul Hai (Group CIO, CISO-equivalent) [Official: agrobank.com.my/my/home/corporate-info/senior-leadership/, conf 85]",Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Zulkeefli Mad Karim,Hussien Mullar,Fairoshawal Idrus,"Nolan Jeffrey A/L Abdul Hai (Group Chief Information Technology Officer) [Official: agrobank.com.my/home/corporate-info/senior-leadership/, conf 95]",Kamarudin Samsudin,Encik
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my],
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my],
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my],
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,,,"Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024 p.110 via Wayback Machine, conf 95 — upgraded from 90]",,,"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering AMB, Allianz General, Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering all AMB subsidiaries. Named in CG Report key management personnel.]",
2,Insurers,Allianz Life Insurance Malaysia Berhad,,,"Giulio Slavich (CFO AMB & Allianz Life) [Official: Allianz Malaysia IAR 2024 p.110 + CG Report 2024 via Wayback Machine, conf 95 — upgraded from 90. CFO of both AMB holding and Allianz Life]",,,"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering Allianz Life.]",
