Institution_Name,Domain,Verification_Date,Chief Information Security Officer_Email_Pattern,Chief Information Security Officer_Confidence,Chief Information Security Officer_Name,Chief Information Security Officer_Sources,Head of Governance Risk & Compliance_Email_Pattern,Head of Governance Risk & Compliance_Confidence,Head of Governance Risk & Compliance_Name,Head of Governance Risk & Compliance_Sources,Chief Financial Officer_Email_Pattern,Chief Financial Officer_Confidence,Chief Financial Officer_Name,Chief Financial Officer_Sources,Chief Risk Officer_Email_Pattern,Chief Risk Officer_Confidence,Chief Risk Officer_Name,Chief Risk Officer_Sources,Head of Compliance_Email_Pattern,Head of Compliance_Confidence,Head of Compliance_Name,Head of Compliance_Sources,Chief Information Officer_Email_Pattern,Chief Information Officer_Confidence,Chief Information Officer_Name,Chief Information Officer_Sources,Head of Internal Audit_Email_Pattern,Head of Internal Audit_Confidence,Head of Internal Audit_Name,Head of Internal Audit_Sources
Alliance Bank Malaysia Berhad,alliancebankmalaysia.com,2026-07-08,ciso@alliancebankmalaysia.com,PENDING_VERIFICATION,,,grc@alliancebankmalaysia.com,PENDING_VERIFICATION,,,cfo@alliancebankmalaysia.com,PENDING_VERIFICATION,,,risk@alliancebankmalaysia.com,PENDING_VERIFICATION,,,compliance@alliancebankmalaysia.com,PENDING_VERIFICATION,,,cio@alliancebankmalaysia.com,PENDING_VERIFICATION,,,internal.audit@alliancebankmalaysia.com,PENDING_VERIFICATION,,
AmBank (M) Berhad,ambankgroup.com,2026-07-08,ciso@ambankgroup.com,PENDING_VERIFICATION,,,grc@ambankgroup.com,PENDING_VERIFICATION,,,cfo@ambankgroup.com,PENDING_VERIFICATION,,,risk@ambankgroup.com,PENDING_VERIFICATION,,,compliance@ambankgroup.com,PENDING_VERIFICATION,,,cio@ambankgroup.com,PENDING_VERIFICATION,,,internal.audit@ambankgroup.com,PENDING_VERIFICATION,,
Bank Islam Malaysia Berhad,bankislam.com.my,2026-07-08,ciso@bankislam.com.my,PENDING_VERIFICATION,,,grc@bankislam.com.my,PENDING_VERIFICATION,,,cfo@bankislam.com.my,PENDING_VERIFICATION,,,risk@bankislam.com.my,PENDING_VERIFICATION,,,compliance@bankislam.com.my,PENDING_VERIFICATION,,,cio@bankislam.com.my,PENDING_VERIFICATION,,,internal.audit@bankislam.com.my,PENDING_VERIFICATION,,
CIMB Bank Berhad,cimb.com,2026-07-08,ciso@cimb.com,PENDING_VERIFICATION,,,grc@cimb.com,PENDING_VERIFICATION,,,cfo@cimb.com,PENDING_VERIFICATION,,,risk@cimb.com,PENDING_VERIFICATION,,,compliance@cimb.com,PENDING_VERIFICATION,,,cio@cimb.com,PENDING_VERIFICATION,,,internal.audit@cimb.com,PENDING_VERIFICATION,,
Hong Leong Bank Berhad,hlbb.com.my,2026-07-08,ciso@hlbb.com.my,PENDING_VERIFICATION,,,grc@hlbb.com.my,PENDING_VERIFICATION,,,cfo@hlbb.com.my,PENDING_VERIFICATION,,,risk@hlbb.com.my,PENDING_VERIFICATION,,,compliance@hlbb.com.my,PENDING_VERIFICATION,,,cio@hlbb.com.my,PENDING_VERIFICATION,,,internal.audit@hlbb.com.my,PENDING_VERIFICATION,,
Maybank Berhad,maybank.com.my,2026-07-08,ciso@maybank.com.my,PENDING_VERIFICATION,,,grc@maybank.com.my,PENDING_VERIFICATION,,,cfo@maybank.com.my,PENDING_VERIFICATION,,,risk@maybank.com.my,PENDING_VERIFICATION,,,compliance@maybank.com.my,PENDING_VERIFICATION,,,cio@maybank.com.my,PENDING_VERIFICATION,,,internal.audit@maybank.com.my,PENDING_VERIFICATION,,
OCBC Bank (Malaysia) Berhad,ocbc.com.my,2026-07-08,ciso@ocbc.com.my,PENDING_VERIFICATION,,,grc@ocbc.com.my,PENDING_VERIFICATION,,,cfo@ocbc.com.my,PENDING_VERIFICATION,,,risk@ocbc.com.my,PENDING_VERIFICATION,,,compliance@ocbc.com.my,PENDING_VERIFICATION,,,cio@ocbc.com.my,PENDING_VERIFICATION,,,internal.audit@ocbc.com.my,PENDING_VERIFICATION,,
Public Bank Berhad,pbb.com.my,2026-07-08,ciso@pbb.com.my,PENDING_VERIFICATION,,,grc@pbb.com.my,PENDING_VERIFICATION,,,cfo@pbb.com.my,PENDING_VERIFICATION,,,risk@pbb.com.my,PENDING_VERIFICATION,,,compliance@pbb.com.my,PENDING_VERIFICATION,,,cio@pbb.com.my,PENDING_VERIFICATION,,,internal.audit@pbb.com.my,PENDING_VERIFICATION,,
RHB Bank Berhad,rhbbank.com,2026-07-08,ciso@rhbbank.com,PENDING_VERIFICATION,,,grc@rhbbank.com,PENDING_VERIFICATION,,,cfo@rhbbank.com,PENDING_VERIFICATION,,,risk@rhbbank.com,PENDING_VERIFICATION,,,compliance@rhbbank.com,PENDING_VERIFICATION,,,cio@rhbbank.com,PENDING_VERIFICATION,,,internal.audit@rhbbank.com,PENDING_VERIFICATION,,
UOB Malaysia Berhad,uob.com.my,2026-07-08,ciso@uob.com.my,PENDING_VERIFICATION,,,grc@uob.com.my,PENDING_VERIFICATION,,,cfo@uob.com.my,PENDING_VERIFICATION,,,risk@uob.com.my,PENDING_VERIFICATION,,,compliance@uob.com.my,PENDING_VERIFICATION,,,cio@uob.com.my,PENDING_VERIFICATION,,,internal.audit@uob.com.my,PENDING_VERIFICATION,,
