id,name,role_normalized,company_normalized,company_legal_entity,confidence_score,source_url,country,region,notes,date_collected
36,YM Dato' Tengku Ahmad Badli Shah Raja Hussin,CEO,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group President/CEO; leads Islamic development finance institution,2026-07-10
37,Encik Zulkeefli Mad Karim,CFO,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Finance Officer,2026-07-10
38,Encik Hussien Mullar,CRO,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Risk Officer,2026-07-10
39,Encik Nolan Jeffrey A/L Abdul Hai,CIO,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Information Technology Officer,2026-07-10
40,Encik Fairoshawal Idrus,Compliance,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Compliance & Integrity Officer,2026-07-10
41,Encik Kamarudin Samsudin,Audit,Agrobank,Agrobank Malaysia,95,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Internal Audit,2026-07-10
42,Encik Zahid Ahmad Zawawi,COO,Agrobank,Agrobank Malaysia,90,https://www.agrobank.com.my/home/corporate-info/senior-leadership/,Malaysia,Kuala Lumpur,Group Chief Operations Officer; additional executive,2026-07-10
43,Dato Koh Yaw Hui,CEO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,95,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,CEO since 21 Jan 2008; 20+ years insurance experience,2026-07-10
44,Loke Chang Yueh,CFO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,95,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,CFO; joined 2013; BSc Actuarial Science (City University London),2026-07-10
45,Vincent Chin,CIO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,90,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,"Division Head, IT; joined 2007; Bachelor of Business (RMIT)",2026-07-10
46,Liza Hanim Zainal Abidin,Compliance,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,85,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,"Division Head, Company Secretary and Legal; LLB (Hons) Aberystwyth",2026-07-10
47,Audra Chung Kit Li,Audit,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,95,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,Chief Internal Auditor; since 2005; BCommerce Accounting (Canberra),2026-07-10
48,Yvonne Gan Pek Yi,COO,Great Eastern,Great Eastern Life Assurance (Malaysia) Berhad,90,https://www.greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html,Malaysia,Kuala Lumpur,COO appointed 1 Jan 2025; BSc Statistics (UM),2026-07-10
49,Geng Hao,CEO,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,95,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,MD/CEO appointed 26 Sep 2024; former Deputy GM ICBC Singapore; MBA Renmin University,2026-07-10
50,Wei Quanhong,Chairman,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,Non-Independent Non-Executive Director and Chairperson; appointed 8 Feb 2023,2026-07-10
51,Chin Chee Kong,Audit,ICBC Malaysia,Industrial and Commercial Bank of China (Malaysia) Berhad,90,https://malaysia.icbc.com.cn/en/column/1438058793782362235.html,Malaysia,Kuala Lumpur,Independent Non-Executive Director; Chairman Audit Committee; former KPMG Partner,2026-07-10
