Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,,,,,,,
6,Fintech Sandbox,AEON Bank (M) Berhad,CEO: Mohammad Ridzuan Abdul Aziz (since 22 May 2026) [Official: aeonbank.com.my/media-centre],,,,,,
6,Fintech Sandbox,AEON Bank Berhad,CEO: Mohammad Ridzuan Abdul Aziz (since 22 May 2026) [Official: aeonbank.com.my/media-centre],,,,,,
4,E-Money,AEON Wallet (AEON Credit),,,,,,,
2,Insurers,AIA Berhad,,,Edwin Peh (CFO) [Official: aia.com.my],,,,
2,Insurers,AIA General Berhad,,,Lai Ann Nee (Director General Insurance Finance) [Official: aia.com.my],Nanthini Kandasamy (Director Risk & Compliance - combined) [Official: aia.com.my],Nanthini Kandasamy (Director Risk & Compliance) [Official: aia.com.my],Yee Theen Gee (Associate Director Technology & Operations) [Official: aia.com.my],
2,Takaful,AIA Public Takaful Berhad,,,Sze Yuet Ping (Director Finance - Takaful) [Official: aia.com.my],Puteri Haslinda Megat Ahmad Supian (Director Enterprise Risk Management) [Official: aia.com.my],Ahmad Faisal Ahamad Nawawi (Associate Director Compliance) [Official: aia.com.my],,
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],,"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]"
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),,,,,,,
3,Development FIs,Agrobank Malaysia,,Encik Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,Encik Nolan Jeffrey A/L Abdul Hai,Encik Kamarudin Samsudin
